0,A,B,C,D,E,F,G,H,I,J,L,M,N,O,P,Q,S,T,U,V,W
2018-01-11,185907.5708358637,600690.6571428571,6527.0,1363277.0886285717,90036.15,138988.55357142858,101081.9714285714,1871879.4285714289,2481567.714285714,366365.7344557143,426122.06897428574,428743.0679357143,915947.4285714284,1621890.1714285717,1386857.0357142857,148813.58571428573,879845.9842714287,1548308.5714285714,0.0,790772.6428571428,150073.22571428568
2018-01-12,185907.5708358637,603894.2285714286,6545.0,1364767.476728571,90621.86785714286,139472.82142857142,101648.45714285717,1876405.7142857143,2491431.285714286,368168.6127328572,425008.5363571429,428530.9831214286,905331.2857142856,1631225.642857143,1388752.9285714286,153399.64285714287,879428.3781000001,1548852.75,0.0,795108.4571428571,150796.71285714285
2018-01-13,185907.5708358637,610196.8285714285,6712.571428571428,1376211.7685428571,92648.96785714288,137872.44642857142,102768.4,1884483.142857143,2507697.0,371553.9007828571,429260.9406728572,429354.21737857145,901378.4285714284,1646483.414285714,1392866.142857143,155112.12857142856,883220.9659857143,1564058.892857143,0.0,809430.1571428571,155860.04571428572
2018-01-14,185907.5708358637,614697.5571428572,6838.857142857143,1386637.3478285717,94923.57857142856,138507.69642857142,104119.57142857143,1902344.2857142857,2521526.1428571427,369535.23571857146,432571.1968871429,432779.8698785714,914111.0,1676454.9571428571,1402593.2142857143,158350.64285714287,887885.2127285714,1592361.3214285714,0.0,830660.542857143,162191.43571428573
2018-01-15,185907.5708358637,619470.7999999999,6910.142857142857,1405333.3444142858,97526.82857142856,141671.89285714287,105528.08571428571,1926894.5714285716,2556647.285714286,378998.48465,437955.984,437696.7446785715,929055.1428571428,1699893.2142857143,1413348.2142857143,159703.75714285715,897916.4472714287,1617382.2857142857,0.0,857342.8285714285,172578.51
2018-01-16,185907.5708358637,620211.3714285714,6966.428571428572,1418101.5994857142,98446.69285714286,144381.5357142857,106387.27142857145,1944742.142857143,2581606.285714286,380069.0059599999,439975.07195000007,438909.1379214286,936253.4285714284,1709330.7285714285,1411785.5357142857,161950.6285714286,899672.6778999999,1636894.607142857,0.0,875026.4714285714,180634.83285714287
2018-01-17,185907.5708358637,623348.9428571428,7066.428571428572,1432148.3714285714,99246.3642857143,146925.19642857142,107245.4,1970502.5714285716,2590266.714285714,384121.51148,445782.0363571429,439059.0700785714,957378.8571428572,1738107.7285714285,1416884.6785714286,163586.6285714286,900725.6149,1650121.7142857143,0.0,886208.7571428571,187736.36142857143
2018-01-18,160164.48928788322,625497.3571428572,7068.142857142857,1438945.284642857,99720.375,149353.35714285713,107898.71428571428,1973661.142857143,2599435.4285714286,387769.1779028572,449025.19553,442941.4928571429,962733.4285714284,1742588.0,1363011.0,165676.5857142857,904214.8217142856,1600695.107142857,0.0,900150.3142857143,193973.68714285715
2018-01-19,135260.53631133123,612815.1285714286,7089.0,1442980.5530428572,97978.8857142857,146589.94642857142,107814.6,1976944.0,2608889.714285714,386756.8641271428,448975.9885171428,444387.0322,966090.4285714284,1743211.1285714284,1260720.2142857143,160114.05714285714,908367.9590571428,1480979.7857142857,0.0,902866.5285714286,196311.84857142856
2018-01-20,110409.74047763644,608885.2714285714,7032.285714285715,1442709.2150571432,96741.80357142857,145188.875,106937.92857142857,1974529.142857143,2597874.8571428573,386844.1589271429,447888.3999485714,443836.8298142858,961717.1428571428,1732413.4142857145,1276551.2142857143,158944.1,903035.2556428572,1505502.3214285714,0.0,891636.1142857142,193128.98428571428
