0,1,2,3,4,5,6
2021-12-31 18:40:00,37.084833333333336,36.9295,37.02933333333333,36.99166666666667,143338.33333333334,20270.0
2021-12-31 18:50:00,36.93833333333334,36.74316666666667,36.82783333333333,36.79283333333333,151500.0,20991.33333333333
2021-12-31 19:00:00,36.795,36.562000000000005,36.65766666666666,36.60966666666667,163256.66666666666,21422.33333333333
2021-12-31 19:10:00,36.6685,36.4125,36.52883333333333,36.451,173000.0,21496.0
2021-12-31 19:20:00,36.553,36.28516666666667,36.43866666666667,36.328,177696.66666666666,21033.5
2021-12-31 19:30:00,36.45333333333334,36.2,36.385333333333335,36.239333333333335,182051.66666666663,20225.0
2021-12-31 19:40:00,36.403000000000006,36.16966666666667,36.38066666666666,36.20483333333333,185745.0,18840.166666666668
2021-12-31 19:50:00,36.40733333333333,36.19766666666667,36.430166666666665,36.21416666666667,188433.3333333333,17623.5
2021-12-31 20:00:00,36.46366666666668,36.27216666666667,36.5015,36.26683333333334,183188.3333333333,16691.833333333332
2021-12-31 20:10:00,36.5275,36.364,36.55583333333333,36.323,175953.33333333334,15947.5
2021-12-31 20:20:00,36.59283333333334,36.45316666666667,36.601333333333336,36.37283333333334,168800.0,15631.333333333334
2021-12-31 20:30:00,36.65066666666667,36.52316666666668,36.63,36.40316666666667,162508.33333333334,15521.5
2021-12-31 20:40:00,36.68266666666667,36.56933333333334,36.6315,36.419,157420.0,15947.666666666666
2021-12-31 20:50:00,36.688500000000005,36.583666666666666,36.60916666666667,36.406,153396.66666666666,16438.666666666668
2021-12-31 21:00:00,36.66016666666667,36.5645,36.57633333333333,36.36333333333334,155013.33333333334,16679.333333333332
2021-12-31 21:10:00,36.63366666666667,36.5375,36.56133333333333,36.33416666666667,159505.0,17034.666666666668
2021-12-31 21:20:00,36.59716666666667,36.50733333333334,36.553666666666665,36.31,163873.33333333334,17426.5
2021-12-31 21:30:00,36.562333333333335,36.474,36.54983333333333,36.29533333333334,167296.66666666666,17630.333333333332
2021-12-31 21:40:00,36.53083333333333,36.44283333333333,36.55683333333334,36.27883333333334,169623.33333333334,17735.5
2021-12-31 21:50:00,36.50233333333334,36.4145,36.5635,36.27216666666667,170941.66666666666,18018.33333333333
2021-12-31 22:00:00,36.464333333333336,36.38033333333333,36.5455,36.255500000000005,170793.33333333334,18456.0
2021-12-31 22:10:00,36.421,36.33533333333334,36.51266666666667,36.223333333333336,169711.66666666666,18439.0
2021-12-31 22:20:00,36.3825,36.28866666666666,36.476,36.188,168578.33333333334,18374.5
2021-12-31 22:30:00,36.3385,36.24883333333333,36.43516666666667,36.15383333333333,167585.0,18326.83333333333
2021-12-31 22:40:00,36.296666666666674,36.209833333333336,36.392833333333336,36.11416666666667,167136.66666666666,18177.83333333333
2021-12-31 22:50:00,36.25616666666667,36.16933333333333,36.351333333333336,36.076166666666666,166700.0,18028.33333333333
2021-12-31 23:00:00,36.224,36.13316666666667,36.321666666666665,36.03916666666667,166143.33333333334,17810.833333333332
2021-12-31 23:10:00,36.19566666666668,36.10983333333333,36.28916666666667,36.00683333333334,165826.66666666666,17644.833333333332
2021-12-31 23:20:00,36.17366666666667,36.09633333333333,36.2625,35.97983333333333,165605.0,17261.5
2021-12-31 23:30:00,36.17233333333333,36.08816666666667,36.25216666666667,35.95733333333334,165980.0,16587.0
2021-12-31 23:40:00,36.193333333333335,36.11683333333333,36.26983333333333,35.96566666666667,166370.0,15600.166666666666
2021-12-31 23:50:00,36.249833333333335,36.17733333333334,36.31766666666667,36.00866666666667,166880.0,14583.5
2022-01-01 00:00:00,36.342333333333336,36.27466666666667,36.40333333333333,36.096833333333336,175171.66666666666,13747.833333333334
2022-01-01 00:10:00,36.49483333333334,36.41483333333333,36.55783333333333,36.254333333333335,186998.3333333333,13246.833333333334
2022-01-01 00:20:00,36.69433333333333,36.60683333333333,36.769,36.4595,198678.3333333333,13173.666666666666
2022-01-01 00:30:00,36.92600000000001,36.8315,37.01933333333333,36.717666666666666,209775.0,13575.833333333334
2022-01-01 00:40:00,37.17766666666667,37.0735,37.29366666666667,36.9955,221018.3333333333,14174.666666666666
2022-01-01 00:50:00,37.45183333333334,37.34066666666667,37.589666666666666,37.29083333333333,232150.0,14494.833333333334
2022-01-01 01:00:00,37.7515,37.6335,37.90416666666667,37.60733333333334,235646.66666666663,14476.166666666666
2022-01-01 01:10:00,38.058666666666674,37.94766666666667,38.221833333333336,37.9125,235516.66666666663,14428.833333333334
2022-01-01 01:20:00,38.37633333333334,38.274166666666666,38.53633333333334,38.231,235593.3333333333,13753.833333333334
2022-01-01 01:30:00,38.72766666666667,38.63616666666667,38.874833333333335,38.56033333333334,235933.3333333333,12762.0
2022-01-01 01:40:00,39.11900000000001,39.034,39.2455,38.92233333333333,236563.3333333333,11869.833333333334
2022-01-01 01:50:00,39.53600000000001,39.459,39.64566666666666,39.3145,237176.66666666663,11023.5
2022-01-01 02:00:00,39.98466666666668,39.913500000000006,40.07183333333333,39.735,237805.0,10373.666666666666
2022-01-01 02:10:00,40.45116666666667,40.38633333333333,40.52133333333333,40.181666666666665,238325.0,9781.833333333334
2022-01-01 02:20:00,40.93816666666667,40.86983333333334,40.99783333333333,40.64083333333334,238893.3333333333,9544.333333333334
2022-01-01 02:30:00,41.419,41.34883333333334,41.47766666666667,41.117,239336.66666666663,9911.833333333334
2022-01-01 02:40:00,41.88466666666668,41.8125,41.946333333333335,41.5825,239693.3333333333,9951.833333333334
2022-01-01 02:50:00,42.35566666666667,42.281,42.41416666666667,42.04333333333333,240000.0,9930.833333333334
