0,1,2,3
2020-07-01 23:40:00,22.76366366666667,22.819787666666667,1027.7420833333333
2020-07-01 23:50:00,22.816249000000003,22.8546805,1017.4774999999998
2020-07-02 00:00:00,22.853067500000005,22.877210666666667,1006.6441666666664
2020-07-02 00:10:00,22.87859883333333,22.887916,994.3320833333332
2020-07-02 00:20:00,22.900636,22.901039666666662,985.3891666666664
2020-07-02 00:30:00,22.93324433333333,22.928138333333333,966.2087499999998
2020-07-02 00:40:00,22.976199833333336,22.966390166666667,953.9562499999998
2020-07-02 00:50:00,23.027531166666662,23.0144515,937.8958333333331
2020-07-02 01:00:00,23.088851,23.07214333333333,924.9825
2020-07-02 01:10:00,23.15487416666667,23.135523499999994,922.4312499999996
2020-07-02 01:20:00,23.22300266666667,23.20271133333333,919.08375
2020-07-02 01:30:00,23.290593500000004,23.271063666666663,920.6870833333332
2020-07-02 01:40:00,23.356929833333336,23.338206166666662,917.1824999999998
2020-07-02 01:50:00,23.42572983333333,23.4058865,917.1012499999998
2020-07-02 02:00:00,23.49524666666667,23.474059166666667,914.46875
2020-07-02 02:10:00,23.565614333333333,23.544248,908.0499999999998
2020-07-02 02:20:00,23.63853516666667,23.61649683333333,904.4804166666664
2020-07-02 02:30:00,23.7114555,23.68834266666666,903.38625
2020-07-02 02:40:00,23.78168883333333,23.7596065,910.40625
2020-07-02 02:50:00,23.847667,23.827913499999998,914.6420833333332
2020-07-02 03:00:00,23.91248033333333,23.89389183333333,915.2108333333332
2020-07-02 03:10:00,23.992299000000003,23.981548666666665,914.6149999999998
2020-07-02 03:20:00,24.09554383333333,24.09764883333333,917.9733333333332
2020-07-02 03:30:00,24.223514333333338,24.240534166666663,923.839583333333
2020-07-02 03:40:00,24.37759766666667,24.408279166666663,922.5016666666664
2020-07-02 03:50:00,24.559003833333332,24.603212666666664,923.9695833333332
2020-07-02 04:00:00,24.76450816666667,24.8234535,932.0945833333332
2020-07-02 04:10:00,24.976551833333332,25.043828666666663,945.11625
2020-07-02 04:20:00,25.185326000000003,25.2541255,952.1633333333332
2020-07-02 04:30:00,25.389755000000005,25.4594505,956.1120833333332
2020-07-02 04:40:00,25.59015283333333,25.661371166666665,970.3795833333332
2020-07-02 04:50:00,25.779532,25.853213666666665,994.6408333333331
2020-07-02 05:00:00,25.952427666666665,26.0297375,1030.5695833333332
2020-07-02 05:10:00,26.105391166666667,26.185523,1082.91625
2020-07-02 05:20:00,26.226507666666677,26.31662833333333,1155.3479166666664
2020-07-02 05:30:00,26.3182855,26.44607633333333,1242.0524999999998
2020-07-02 05:40:00,26.3936255,26.56629733333333,1323.4325
2020-07-02 05:50:00,26.460678666666663,26.6743795,1405.5654166666664
2020-07-02 06:00:00,26.51819133333333,26.77211483333333,1490.0545833333333
2020-07-02 06:10:00,26.5648645,26.858652,1565.2054166666665
2020-07-02 06:20:00,26.605580000000003,26.93712683333333,1633.7858333333334
2020-07-02 06:30:00,26.63182816666667,26.977081166666665,1693.91625
2020-07-02 06:40:00,26.630573666666667,26.983978833333328,1743.863333333333
2020-07-02 06:50:00,26.5979205,26.965569833333333,1798.1762499999998
2020-07-02 07:00:00,26.52997133333334,26.92230116666666,1842.3491666666664
2020-07-02 07:10:00,26.431967,26.85977233333333,1887.68125
2020-07-02 07:20:00,26.30189233333334,26.76969633333333,1923.5991666666664
2020-07-02 07:30:00,26.14373266666667,26.65892633333333,1953.878333333333
2020-07-02 07:40:00,25.95986283333333,26.52437233333333,1992.46125
2020-07-02 07:50:00,25.755747166666666,26.361957666666665,1997.2929166666663
2020-07-02 08:00:00,25.55503583333333,26.1831045,1977.3
2020-07-02 08:10:00,25.3629245,25.998070166666665,1949.7941666666663
2020-07-02 08:20:00,25.18098066666667,25.814111,1935.0175
2020-07-02 08:30:00,25.003964166666663,25.627419166666662,1924.4983333333328
2020-07-02 08:40:00,24.8308445,25.43615866666666,1902.8533333333328
2020-07-02 08:50:00,24.66359266666667,25.249825166666664,1884.8537499999995
2020-07-02 09:00:00,24.492802,25.06918033333333,1889.5120833333333
2020-07-02 09:10:00,24.315382,24.887281,1884.5395833333328
2020-07-02 09:20:00,24.14230666666667,24.708158999999995,1855.9233333333327
2020-07-02 09:30:00,23.988313,24.53898083333333,1826.435
2020-07-02 09:40:00,23.846592333333337,24.38530083333333,1800.8737499999995
2020-07-02 09:50:00,23.71665133333333,24.24384883333333,1781.715
2020-07-02 10:00:00,23.59781883333333,24.1118925,1760.1241666666665
2020-07-02 10:10:00,23.4893785,23.9878645,1740.9979166666665
2020-07-02 10:20:00,23.39173266666667,23.875751,1721.4491666666663
2020-07-02 10:30:00,23.30313466666667,23.773581499999995,1698.0166666666664
2020-07-02 10:40:00,23.22286766666667,23.681041666666665,1676.7074999999998
2020-07-02 10:50:00,23.153351,23.603104,1651.3629166666667
2020-07-02 11:00:00,23.097719833333333,23.539992833333333,1634.6308333333334
2020-07-02 11:10:00,23.05682466666667,23.4891545,1615.9758333333332
2020-07-02 11:20:00,23.023858333333337,23.44928933333333,1598.8266666666666
2020-07-02 11:30:00,23.00289533333334,23.42196633333333,1580.4966666666662
2020-07-02 11:40:00,22.99438483333334,23.407319666666663,1571.1799999999996
2020-07-02 11:50:00,22.988920333333336,23.3981375,1574.6899999999998
2020-07-02 12:00:00,22.98233616666667,23.392135166666662,1576.5695833333332
2020-07-02 12:10:00,22.9676895,23.385864166666664,1585.6316666666664
2020-07-02 12:20:00,22.95053416666667,23.37820533333333,1593.9516666666666
2020-07-02 12:30:00,22.927646,23.365126166666663,1606.729583333333
