0,1
2018-01-01,0.0
2018-01-02,0.0
2018-01-03,0.0
2018-01-04,0.0
2018-01-05,0.0
2018-01-06,0.0
2018-01-07,1377987.882585714
2018-01-08,1372919.2286571427
2018-01-09,1370412.8104714286
2018-01-10,1367852.4998142857
2018-01-11,1363277.0886285715
2018-01-12,1364767.4767285713
2018-01-13,1376211.7685428571
2018-01-14,1386637.3478285715
2018-01-15,1405333.3444142858
2018-01-16,1418101.5994857142
2018-01-17,1432148.3714285714
2018-01-18,1438945.284642857
2018-01-19,1442980.5530428572
2018-01-20,1442709.2150571432
2018-01-21,1438423.6186714286
2018-01-22,1428905.250342857
2018-01-23,1422706.9866142855
2018-01-24,1417837.531042857
2018-01-25,1420002.911657143
2018-01-26,1423901.5336714287
2018-01-27,1424269.4427714287
2018-01-28,1440349.0393142856
2018-01-29,1436791.924842857
2018-01-30,1446496.006457143
2018-01-31,1453398.3323857144
2018-02-01,1464182.6760285716
2018-02-02,1474217.3992428572
2018-02-03,1474424.4077571428
2018-02-04,1466443.451385714
2018-02-05,1476402.0492142856
2018-02-06,1475573.7345999999
2018-02-07,1473607.0656142856
2018-02-08,1471444.0985714286
2018-02-09,1469178.7002428572
2018-02-10,1482035.9275285716
2018-02-11,1491060.1779
2018-02-12,1491413.2672142857
2018-02-13,1498908.0151285715
2018-02-14,1532244.9641714285
2018-02-15,1591682.3041317144
2018-02-16,1655132.573508914
2018-02-17,1699173.707580343
2018-02-18,1792714.7297946287
2018-02-19,1822906.4043089144
2018-02-20,1814324.1992803428
2018-02-21,1780590.161480343
2018-02-22,1708659.9309486286
2018-02-23,1638382.8290285715
2018-02-24,1581758.6770285717
2018-02-25,1473559.1246428571
2018-02-26,1443730.989542857
2018-02-27,1435989.158342857
2018-02-28,1423483.5548571427
2018-03-01,1430000.3712000002
2018-03-02,1423945.5086571428
2018-03-03,1416488.9412999998
2018-03-04,1419267.466885714
2018-03-05,1411370.503057143
2018-03-06,1416329.734457143
2018-03-07,1426482.8595285714
2018-03-08,1419697.3565714285
2018-03-09,1411246.9561142859
2018-03-10,1417864.8903428572
2018-03-11,1417232.5903285716
2018-03-12,1418075.4994285714
2018-03-13,1416515.1456000002
2018-03-14,1419315.5388428571
2018-03-15,1418210.843542857
2018-03-16,1429516.2440000002
2018-03-17,1424314.6101142857
2018-03-18,1418797.0745428572
2018-03-19,1414150.9802285715
2018-03-20,1409140.526242857
2018-03-21,1395576.3861714285
2018-03-22,1400311.901757143
2018-03-23,1395016.1130285712
2018-03-24,1392289.5875285715
2018-03-25,1399023.3878714286
2018-03-26,1400557.2620428572
2018-03-27,1402187.7906857145
2018-03-28,1413649.8564857144
2018-03-29,1410914.100685714
2018-03-30,1413051.776357143
2018-03-31,1426234.6477857141
2018-04-01,1419557.4209142856
2018-04-02,1422312.8991714285
2018-04-03,1426965.0979
2018-04-04,1422433.7521285715
2018-04-05,1417157.1289714288
2018-04-06,1416366.584642857
2018-04-07,1404961.3242857142
2018-04-08,1408148.7341857143
2018-04-09,1402656.2206571426
2018-04-10,1393787.1584571428
2018-04-11,1396856.0323285717
2018-04-12,1403375.3847285716
2018-04-13,1400021.8530571428
2018-04-14,1392378.6916
2018-04-15,1388459.6269
2018-04-16,1387682.5349428572
2018-04-17,1387216.5084285715
2018-04-18,1382616.0494571428
2018-04-19,1380621.4055142857
2018-04-20,1390878.3862857143
2018-04-21,1396132.5171285714
2018-04-22,1386732.8451142856
2018-04-23,1383554.6770571428
2018-04-24,1381666.9693142858
2018-04-25,1381974.5781285714
2018-04-26,1385359.6321285716
2018-04-27,1382212.7865285713
2018-04-28,1382683.6282285715
2018-04-29,1397194.7422142855
2018-04-30,1401082.9762142857
2018-05-01,1412923.364142857
2018-05-02,1410356.8685428572
2018-05-03,1405879.4421285712
2018-05-04,1407869.7254857144
2018-05-05,1409426.106942857
2018-05-06,1399385.3631714284
2018-05-07,1406632.1528857143
2018-05-08,1401613.330114286
2018-05-09,1407839.4561285712
2018-05-10,1408594.1169
2018-05-11,1401638.2141714285
2018-05-12,1392887.4884
2018-05-13,1394269.0016857143
2018-05-14,1394015.9058142859
2018-05-15,1399175.925314286
2018-05-16,1394094.3262285716
2018-05-17,1409904.2389857143
2018-05-18,1411105.914442857
2018-05-19,1422749.0976
2018-05-20,1428606.8013571426
2018-05-21,1417612.5502285713
2018-05-22,1404390.0281142858
2018-05-23,1408062.103742857
2018-05-24,1380586.2559142858
2018-05-25,1386177.1851857142
2018-05-26,1388881.246342857
2018-05-27,1383981.1800285713
2018-05-28,1392141.7643714286
2018-05-29,1410776.126957143
2018-05-30,1411840.8047857143
2018-05-31,1426757.5219285714
2018-06-01,1425748.1985714287
2018-06-02,1428403.3268571426
2018-06-03,1436075.6948142857
2018-06-04,1441588.6663428568
2018-06-05,1435634.4780714286
2018-06-06,1441155.1418285717
2018-06-07,1447563.132957143
2018-06-08,1449261.2379142854
2018-06-09,1444378.9981857142
2018-06-10,1448902.9122285715
2018-06-11,1443563.8468857144
2018-06-12,1442858.3792857141
2018-06-13,1443996.536814286
2018-06-14,1439472.6499857143
2018-06-15,1442695.2325714284
2018-06-16,1446177.4563571427
2018-06-17,1444733.7850571428
2018-06-18,1450166.520442857
2018-06-19,1450316.1226571428
2018-06-20,1452589.3116571426
2018-06-21,1454981.252457143
2018-06-22,1453594.348914286
2018-06-23,1453163.5610142858
2018-06-24,1457506.4307571428
2018-06-25,1458475.2309285717
2018-06-26,1440608.2657
2018-06-27,1373314.8752285715
2018-06-28,1372198.8380999998
